GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Loxl2,1407.330931,4.61249746,0.291820648,15.8059325,2.83E-56,4.14E-54
Acta2,1997.387602,6.493106962,0.411016341,15.79768567,3.23E-56,4.68E-54
Tmem175,845.2688469,-1.388899224,0.088003976,-15.78223264,4.12E-56,5.93E-54
Myof,273.9090544,5.75825415,0.365386655,15.75934445,5.92E-56,8.45E-54
Cdk6,157.5644022,5.637813214,0.35775987,15.75865178,5.99E-56,8.48E-54
Acvrl1,141.7689647,6.700292304,0.425827124,15.73477105,8.74E-56,1.23E-53
Col15a1,209.721754,7.568537906,0.481405114,15.72176466,1.07E-55,1.49E-53
Hmgcs1,20005.60539,-2.206108284,0.140566173,-15.6944465,1.65E-55,2.28E-53
Metrn,238.7393152,5.259279408,0.33686419,15.61246213,5.99E-55,8.21E-53
Cdc42bpg,295.2603851,3.626656352,0.232620396,15.59044868,8.45E-55,1.15E-52
Yap1,176.2511537,4.16972395,0.267553399,15.58464205,9.26E-55,1.25E-52
Ntn4,119.3905071,4.073239237,0.262135692,15.53866701,1.90E-54,2.54E-52
Pmp2,190.5621281,7.81954295,0.506109474,15.45029948,7.51E-54,9.98E-52
Btg2,354.3150261,2.919796931,0.189154769,15.43602073,9.37E-54,1.24E-51
Spon2,274.4518793,6.599481825,0.427698348,15.43022518,1.03E-53,1.34E-51
Insyn2a,192.5731404,3.816647922,0.250999497,15.20579909,3.24E-52,4.21E-50
Cdkn1a,25135.41703,1.722610182,0.113344483,15.1980064,3.65E-52,4.70E-50
Kank2,143.6459847,4.430214776,0.291524024,15.19673995,3.72E-52,4.76E-50
Tnc,706.317244,3.734130891,0.246168788,15.16898599,5.67E-52,7.21E-50
Col6a1,508.2857619,4.838515957,0.319088082,15.16357467,6.16E-52,7.77E-50
Lhfp,400.1103346,3.917904622,0.258527446,15.15469508,7.05E-52,8.84E-50
Eps8,173.3452196,2.638443516,0.175185587,15.06084807,2.93E-51,3.64E-49
Lrrc32,224.0555885,5.161521253,0.343072355,15.04499322,3.72E-51,4.60E-49
Ltbp4,261.2195703,3.567817946,0.237198164,15.0415074,3.93E-51,4.81E-49
Flnc,203.805564,5.734964926,0.38196649,15.01431427,5.92E-51,7.20E-49
Sh3bp5,640.7901296,1.679895766,0.11193346,15.00798574,6.51E-51,7.87E-49
Pak6,168.0627354,4.470507907,0.299195584,14.94175765,1.76E-50,2.12E-48
Tshr,107.9573272,2.85366471,0.19126327,14.92008739,2.44E-50,2.91E-48
Angpt2,201.6859333,5.62288365,0.377539986,14.89347847,3.63E-50,4.30E-48
Homer3,1209.944415,1.530800172,0.102786221,14.89304849,3.66E-50,4.30E-48
